Elevation below Compromise (4489.045),Storage (acre-ft)
-13.045,0
-12.945,7
-12.845,39
-12.745,136
-12.645,356
-12.545,780
-12.445,1482
-12.345,2454
-12.245,3676
-12.145,5135
-12.045,6816
-11.945,8710
-11.845,10807
-11.745,13097
-11.645,15574
-11.545,18231
-11.445,21063
-11.345,24062
-11.245,27225
-11.145,30547
-11.045,34024
-10.945,37702
-10.845,41618
-10.745,45751
-10.645,50087
-10.545,54609
-10.445,59304
-10.345,64160
-10.245,69168
-10.145,74316
-10.045,79597
-9.945,85003
-9.845,90526
-9.745,96159
-9.645,101897
-9.545,107734
-9.445,113665
-9.345,119686
-9.245,125791
-9.145,131977
-9.045,138240
-8.945,144577
-8.845,150984
-8.745,157458
-8.645,163997
-8.545,170598
-8.445,177257
-8.345,183974
-8.245,190745
-8.145,197569
-8.045,204444
-7.945,211368
-7.845,218338
-7.745,225354
-7.645,232414
-7.545,239516
-7.445,246659
-7.345,253841
-7.245,261062
-7.145,268320
-7.045,275614
-6.945,282944
-6.845,290310
-6.745,297711
-6.645,305148
-6.545,312621
-6.445,320129
-6.345,327672
-6.245,335250
-6.145,342863
-6.045,350510
-5.945,358192
-5.845,365908
-5.745,373658
-5.645,381443
-5.545,389261
-5.445,397113
-5.345,404999
-5.245,412917
-5.145,420870
-5.045,428855
-4.945,436874
-4.845,444925
-4.745,453009
-4.645,461126
-4.545,469276
-4.445,477457
-4.345,485671
-4.245,493918
-4.145,502196
-4.045,510506
-3.995,514677
-3.945,518848
-3.895,523035
-3.845,527222
-3.795,531425
-3.745,535627
-3.695,539846
-3.645,544064
-3.595,548298
-3.545,552532
-3.495,556782
-3.445,561032
-3.395,565297
-3.345,569563
-3.295,573843
-3.245,578124
-3.195,582421
-3.145,586717
-3.095,591029
-3.045,595341
-2.995,599666
-2.945,603991
-2.895,608328
-2.845,612666
-2.795,617015
-2.745,621364
-2.695,625725
-2.645,630085
-2.595,634458
-2.545,638831
-2.495,643216
-2.445,647602
-2.395,651999
-2.345,656396
-2.295,660806
-2.245,665215
-2.195,669637
-2.145,674059
-2.095,678494
-2.045,682928
-1.995,687375
-1.945,691822
-1.895,696282
-1.845,700742
-1.795,705214
-1.745,709687
-1.695,714172
-1.645,718657
-1.595,723155
-1.545,727653
-1.495,732164
-1.445,736676
-1.395,741200
-1.345,745724
-1.295,750261
-1.245,754799
-1.195,759349
-1.145,763900
-1.095,768464
-1.045,773028
-0.995,777605
-0.945,782183
-0.895,786773
-0.845,791364
-0.795,795969
-0.745,800573
-0.695,805191
-0.645,809810
-0.595,814441
-0.545,819073
-0.495,823719
-0.445,828365
-0.395,833025
-0.345,837684
-0.295,842358
-0.245,847032
-0.195,851719
-0.145,856407
-0.095,861109
-0.045,865811
0.005,870527
0.055,875243
0.105,879974
0.155,884705
0.205,889450
0.255,894195
0.305,898954
0.355,903714
0.405,908488
0.455,913262
0.505,918051
0.555,922839
0.605,927643
0.655,932446
0.705,937265
0.755,942083
0.805,946917
0.855,951750
0.905,956598
1.295,1000000
2.295,1090000
3.295,1190000
4.295,1300000
